step 0: train loss 10.9899, val loss 10.9894
iter 1040: loss 6.6889, time 155.49ms, mfu 101.18%
iter 1050: loss 6.4290, time 156.41ms, mfu 101.82%
iter 1060: loss 6.6644, time 155.70ms, mfu 102.45%
iter 1070: loss 6.4601, time 155.44ms, mfu 103.04%
iter 1080: loss 6.5838, time 155.33ms, mfu 103.57%
iter 1090: loss 6.6028, time 155.77ms, mfu 104.02%
iter 1100: loss 6.8613, time 155.30ms, mfu 104.46%
iter 1110: loss 6.4002, time 155.39ms, mfu 104.84%
iter 1120: loss 6.5318, time 155.48ms, mfu 105.18%
iter 1130: loss 6.3875, time 156.83ms, mfu 105.40%
iter 1140: loss 6.5086, time 155.43ms, mfu 105.69%
iter 1150: loss 6.5693, time 155.89ms, mfu 105.92%
iter 1160: loss 6.1721, time 155.40ms, mfu 106.16%
iter 1170: loss 6.5356, time 155.83ms, mfu 106.34%
iter 1180: loss 6.7363, time 155.82ms, mfu 106.51%
iter 1190: loss 6.2232, time 155.26ms, mfu 106.70%
iter 1200: loss 6.3492, time 155.91ms, mfu 106.83%
iter 1210: loss 6.3820, time 155.76ms, mfu 106.95%
iter 1220: loss 6.2704, time 155.11ms, mfu 107.11%
iter 1230: loss 6.3155, time 156.89ms, mfu 107.13%
iter 1240: loss 6.3959, time 155.05ms, mfu 107.27%
iter 1250: loss 6.2380, time 155.02ms, mfu 107.40%
iter 1260: loss 6.3973, time 155.14ms, mfu 107.51%
iter 1270: loss 6.1116, time 155.54ms, mfu 107.58%
iter 1280: loss 6.0980, time 156.34ms, mfu 107.59%
iter 1290: loss 6.0991, time 156.09ms, mfu 107.61%
iter 1300: loss 6.0746, time 155.98ms, mfu 107.64%
iter 1310: loss 6.2824, time 155.94ms, mfu 107.67%
iter 1320: loss 6.1161, time 155.58ms, mfu 107.73%
iter 1330: loss 6.1238, time 155.82ms, mfu 107.76%
iter 1340: loss 5.9335, time 156.27ms, mfu 107.75%
iter 1350: loss 6.0323, time 155.57ms, mfu 107.80%
iter 1360: loss 5.8445, time 155.32ms, mfu 107.85%
iter 1370: loss 6.1229, time 156.51ms, mfu 107.82%
iter 1380: loss 5.7743, time 156.18ms, mfu 107.82%
iter 1390: loss 5.8370, time 156.48ms, mfu 107.79%
iter 1400: loss 5.8917, time 155.51ms, mfu 107.84%
